country,med_age_all,med_age_male,med_age_female,ed_index_2015,mean_years_school_2015,hdi_rank,continent,gdp_growth_1990_2015,gni_ppp_cap_usd,inequality,pop_growth_2015_20,per_urban,population
Iraq,20,19.8,20.3,0.5,6.6,121,Asia,9.8,17290,29.5,2.78,70.5,39309783
Ireland,36.8,36.4,37.1,0.91,12.3,8,Europe,7.5,66810,31.9,0.78,63.2,4882495
Isle of Man,44.2,43.3,44.9,NA,NA,NA,NA,NA,NA,NA,NA,52.6,84584
Israel,29.9,29.3,30.6,0.87,12.8,19,Asia,6.8,40800,41.4,1.55,92.4,8519377
Italy,45.5,44.4,46.5,0.814,10.9,26,Europe,1.8,42490,34.7,-0.13,70.4,60550075
Ivory Coast,NA,NA,NA,NA,NA,NA,NA,4.6,4030,NA,2.49,50.8,25716544
Jamaica,26,25.5,26.5,0.678,9.6,94,North America,4.5,8930,45.5,0.29,55.7,2948279
Japan,47.3,46,48.7,0.842,12.5,17,Asia,NA,45000,32.1,-0.23,91.6,126860301
Jersey,38,36.3,40.7,NA,NA,NA,NA,NA,NA,NA,NA,30.9,NA
Jordan,22.5,22.9,22,0.701,10.1,86,Asia,9.2,9300,35.4,2.17,91,10101694
Kazakhstan,30.6,29.3,31.9,0.805,11.7,56,Europe,7.6,24230,26.5,1.13,57.4,18551427
Kenya,19.7,19.6,19.9,0.518,6.3,146,Africa,6.9,3430,47.7,2.49,27,52573973
Kiribati,24.6,23.8,25.5,0.59,7.8,137,Oceania,5.6,4410,NA,1.71,54.1,117606
Kosovo,29.1,28.8,29.5,NA,NA,NA,NA,NA,11580,26.5,NA,NA,NA
Kuwait,29.3,30.4,27.4,0.611,7.3,51,Asia,7.6,83390,NA,1.78,100,4207083
Kyrgyzstan,26.5,25.4,27.6,0.721,10.8,120,Asia,7.4,3780,26.8,1.44,36.4,6415850
Laos,23,22.7,23.3,0.474,5.2,138,Asia,8.8,7090,37.9,1.45,35,7169455
Latvia,43.6,39.7,46.9,0.835,11.7,44,Europe,4.6,28170,35.1,-1.03,68.1,1906743
Lebanon,30.5,29.9,31.1,0.656,8.6,76,Asia,12.2,12610,NA,0.57,88.6,6855713
Lesotho,24.2,24.2,24.2,0.503,6.1,160,Africa,5.2,3610,54.2,1.31,28.2,2125268
Liberia,17.8,17.5,18,0.423,4.4,177,Africa,8.8,1130,33.2,2.52,51.2,4937374
Libya,28.9,29.1,28.7,0.616,7.3,102,Africa,-2.3,20990,NA,1.33,80.1,6777452
Liechtenstein,43.2,41.7,44.5,0.818,12.4,15,Europe,NA,NA,NA,0.65,14.3,38019
Lithuania,43.7,39.7,47.1,0.882,12.7,37,Europe,5.9,31920,37.7,-0.55,67.7,2759627
Luxembourg,39.3,38.7,39.9,0.783,12,20,Europe,6.3,80640,31.2,1.27,91,615729
Macau,39.3,39.5,39.1,NA,NA,NA,NA,NA,112480,35,NA,100,640445
Macedonia,NA,NA,NA,0.673,9.4,82,Europe,NA,NA,NA,NA,NA,NA
Madagascar,19.7,19.5,19.9,0.492,6.1,158,Africa,4.7,1580,40.6,2.67,37.2,26969307
Malawi,16.5,16.4,16.7,0.445,4.4,170,Africa,3.1,1310,46.1,2.87,16.9,18628747
